sentence1,sentence2,similarity,predicted_similarity
A black and a white dog are joyfully running on the grass,A black person in white is joyfully running with the dog on the grass,1.75,2.4407828
One white dog and one black one are running side by side on the grass,"A dog, which has a black coat, and a white dog are running on the grass",4.0,3.986893
A lot of people are in an ice skating park,An ice skater is outdoors performing on a rink full of people,3.125,3.8282826
Many people are skating in an ice park,An ice skating rink placed outdoors is full of people,4.375,3.4726932
The girl in the blue and white uniform is cheering,Some cheers are being performed by the girl in the blue and white uniform,4.875,3.7399147
The girl in the blue and white uniform is cheering,The girl is cheering the man in the blue and white uniform,2.625,4.809801
Some cheers are being performed by the girl in the blue and white uniform,"A girl in a uniform, which is blue, is raising her arm.",4.0,2.6613212
"A girl in a uniform, which is blue, is raising her arm.",The girl in the blue and white uniform is cheering,2.875,3.523507
People are far from a beach full of sand by the ocean and are suffering from the sunny day,People are on a beach full of sand by the ocean and are enjoying a sunny day,2.375,3.794187
People are on a beach full of sand by the ocean and are enjoying a sunny day,There is no one on the shore,3.375,2.6636415
The man is doing a wheelie with a motorbike in a field which is mostly barren,The man is doing a wheelie with a motorcycle on ground which is mostly barren,4.25,4.2735696
"The man is on ground which is mostly barren, filming a wheelie done with a motorcycle.",A man in a blue jumpsuit is courageously performing a wheelie on a motorcycle,2.0,3.1539924
A man in a blue jumpsuit is failing to perform a wheelie on a motorcycle,The man is doing a wheelie with a motorcycle on ground which is mostly barren,3.0,3.3477683
The man is doing a wheelie with a motorcycle on ground which is mostly barren,A courageous performer is doing a wheelie with a motorcycle over a man in a blue jumpsuit,3.25,4.00139
Two people are passionately kissing near a crowd,Two people are kissing near a crowd,4.25,4.341914
Two people are arguing near a crowd,Two people are kissing near a crowd,2.5,2.5371609
The girl in the red shirt is blowing a bubble ,The girl in a dyed red shirt isn't blowing a bubble,1.75,4.0655093
"The girl, who is young, is blowing a bubble that is huge",The girl in the red shirt is blowing a bubble ,3.75,3.635191
"The young woman in a dyed red shirt, is blowing a bubble that is huge",The young girl is blowing a bubble that is huge,3.5,3.9470992
"A bubble blew, dyeing the girl's shirt red.",The young girl is blowing a bubble that is huge,2.5,3.3502
A little boy is jumping into a puddle in the street,A little boy is jumping into a puddle on the street,4.875,4.754258
A young child is barefoot and is walking past a puddle full of mud,A little boy is jumping into a puddle on the street,2.375,3.7481592
Two young kids are playing with a man eating corndogs,Two young kids are eating corndogs,3.625,3.926736
Two young kids are playing with a man eating corndogs,"Two toddlers are eating corndogs in a wagon, which is really small",2.875,3.4301074
Two toddlers are eating on a really small wagon full of corndogs ,Two young kids are eating corndogs,2.5,2.7396617
"Two toddlers are eating corndogs in a wagon, which is really small",Two young kids are eating corndogs,4.125,4.4069047
A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny,5.0,4.5920835
A man is getting on a horse on a track laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color,1.375,2.6193435
A man is falling off a horse on a track and is laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color,2.125,2.983366
"The man and the boy are standing at the bottom of the stairs, which are outdoors","A man and a boy are standing at the bottom of some stairs, which are outdoors",5.0,4.7805624
There is no adult in the amphitheater talking to a boy,"The man and the boy are standing at the bottom of the stairs, which are outdoors",1.5000000000000002,1.7073883
"A boy is standing in front of the building painted blue, in the space reserved for handicapped people",A boy is standing in front of the blue building in the space reserved for handicapped people,4.75,4.79864
Some horses are racing furiously over the green grass and jumping an obstacle,Some horses are resting on the green grass,2.75,2.0345578
"The Jockeys are racing horses on the field, which is completely green",A few horses are racing furiously over the green grass and jumping the obstacle,3.125,3.405164
A person who is practicing snowboarding jumps into the air,A leap over white snow is greatly appealing to the snowboarders,2.375,3.1627016
A dog is near the red ball in the air,"A dog, which is small, is playing tirelessly on the green grass",2.375,1.9906775
A dog is near the red ball in the air,A small kid is playing with a green toy dog on the grass,1.0,0.9626578
A dog is far from the red ball in the air,"A dog, which is small, is playing on the green grass",1.25,3.049141
A dog is jumping in the air to catch a red ball,"A dog, which is small, is playing on the green grass",2.375,3.1804016
The person is riding a motorbike on a sandy track,A motocross rider is giving a motorbike to a person at an event,2.0,4.461917
The person is riding a motorbike on a track on the sand,A person is riding a motorbike in the event related to motocross,3.0,3.6175325
A person is riding a motorbike in the event related to motocross,The person isn't riding a motorbike on a sandy track,2.875,2.6600204
A girl is wearing a pink shirt with white writing on it and is lying in the grass,A girl is naked and is standing on the grass,2.25,3.7216434
The young peaceful girl is lying about the grass found in the pink shirt,A girl is wearing a pink shirt with white writing on it and is lying in the grass,3.25,3.547627
"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",A large dog is running on the grass with a tennis ball in its mouth,4.25,4.105434
There is no woman riding a horse,A woman is riding a horse,2.25,2.8603451
A woman is riding a horse,A man is opening a small package that contains headphones,0.0,0.16306265
A man is opening a small package that contains headphones,A man is opening a package that contains headphones,4.125,4.599465
There is no man singing and playing the guitar,A man is singing and playing the guitar,2.0,4.0216713
A man is opening a package that doesn't contain headphones,A man is singing and playing the guitar,0.1250000000000001,0.52438754
A dog is riding a skateboard,An animal is riding a skateboard,4.375,3.3343668
The turtle is following the fish,The fish is following the turtle,3.5,3.2313964
The fish is following the turtle,A sea turtle is hunting for fish,2.75,2.9297159
A fish is hunting for a turtle in the sea,The turtle is following the fish,3.125,3.4268901
There is no man driving the car,A man is driving a car,3.25,3.5955958
A woman is dipping a prawn in batter,A woman is dipping a shrimp in batter,4.25,4.0849557
A woman is dipping a prawn in batter,A man is driving a car,0.0,0.15902911
A man is playing a piano at a concert,A man is playing a guitar,2.25,3.0222485
A woman is adding ingredients to a big bowl,A woman is adding ingredients to a bowl,4.5,4.7470956
A woman is cracking some eggs into a bowl,A woman is cracking some eggs outside a bowl,3.25,3.3662648
A woman is cracking some eggs into a container,A woman is adding ingredients to a bowl,4.125,3.177227
A woman is adding ingredients to a big bowl,A woman is cracking some eggs into a bowl,4.125,2.4490185
A woman is cracking some eggs into a bowl,A woman is adding ingredients to a bowl,3.875,2.4643524
There is no woman slicing a potato,A woman is slicing a potato,3.625,3.3060968
A potato is being sliced by a woman,A woman is slicing a carrot,2.5,4.2776732
A woman is slicing a potato,There is no woman slicing a carrot,2.75,3.677526
A man and a woman are walking through a desert area,A man and a woman are walking through a wooded area,3.25,2.5330675
A man and a woman are walking together through the woods,A man and a woman are walking through a desert area,3.5,2.9176679
A man is speaking on a podium,A podium is where a man is speaking,4.75,4.1292567
A man is tanking on a stage in front of a crowd,A man is speaking on a stage,3.0,2.503679
A man is speaking about the stage,A man is speaking on a stage,3.20625,4.2866406
A man is speaking on a podium,There is no man speaking on a stage,3.0,3.1448665
A man is speaking about the stage,A man is speaking on a podium,3.375,3.3440397
A man is speaking on a stage,A podium is where a man is speaking,3.75,4.408416
A man is speaking on a stage,A man is speaking on a podium,4.125,4.430807
A woman is not talking on a telephone,Two boys are talking on the phone,2.25,2.0849133
A woman is talking on a telephone,Two boys are talking on the phone,2.625,2.3293602
A man is cutting a bun,A man is slicing a tomato,2.375,2.8372455
A man is slicing a bun,A man is slicing a tomato,3.25,3.069084
A woman is dancing and singing in the rain,There is no woman dancing and singing in the rain,3.5,3.6477134
Some women are dancing and singing ,A woman is dancing and singing in the rain,3.5,3.7922153
A woman is dancing and singing with other women,A woman is dancing and singing in the rain,3.875,3.477499
A woman is removing the peel of a potato,A woman is slicing a tomato,2.75,2.5646012
There is no woman mixing eggs,A woman is mixing eggs,2.625,3.617204
A band is performing onstage,A band is performing on a stage,5.0,4.249971
A band is playing on a stage,A band is playing onstage,5.0,4.105695
A band is performing on a stage,A band is playing onstage,4.875,4.155542
There is no man mixing,A man is mixing,3.375,3.4419088
A cat is swinging on a fan,A cat is stuck on a ceiling fan that is moving,3.875,3.7640314
There is no man playing soccer,A man is playing soccer,4.75,3.4656303
A man is playing flute,There is no man playing soccer,0.375,0.42939228
There is no man playing flute,A man is playing soccer,0.1250000000000001,0.857377
A person is performing a card trick,Nobody is performing a card trick,2.625,3.7102334
A person is performing a card trick,There is no man frying a tortilla,0.0,0.061373144
A boy is spanking a man with a plastic sword,A boy is whacking a man with a sword,4.125,3.2802002
The woman is measuring the other woman,The lady isn't measuring the ankle of another woman,2.375,2.6657922
A man is talking on the phone,A man is making a phone call,4.125,4.4583297
A man is talking on a cell phone,A man is making a phone call,4.125,3.774711
There is no dog rolling from side to side,A dog is rolling from side to side,3.5,3.596663
There is no dog rolling from side to side,A puppy is repeatedly rolling from side to side on its back,3.5,3.7443128
A pencil is being shaved by the machine,A machine is sharpening a pencil,4.0,4.563393
A man is playing a keyboard in a park,A man is playing a keyboard,3.875,4.1125903
A person is chopping a red onion,A person is chopping an onion,4.5,4.684725
A person is riding a motorcycle,A person is chopping a red onion,0.2499999999999999,0.0057758987
A person is riding a motorcycle,A person is chopping an onion,0.4999999999999999,0.008942634
A man is screaming,A man is scared,3.25,3.6126907
Butter is being chopped into a container by a man,A man is chopping butter into a container,5.0,3.9742134
A woman is not cutting shrimps,A woman is cutting shrimps,3.125,2.7191517
A woman is not cutting shrimps,A man is chopping butter into a container,1.0,2.2272851
Women are sawing logs,Men are sawing logs,3.75,3.401902
A woman is chopping a red onion,A woman is chopping an onion,4.375,4.848869
A woman is slicing meat with a sharp knife,A woman is slicing meat with a knife,4.375,4.890342
A woman is slicing meat with a sharp knife,A man is spreading dough,0.1062499999999999,0.07133791
A man is resting,A man is exercising,3.375,3.3258426
A man is doing physical activity,A baby is laughing,0.1250000000000001,0.12450051
"Three young men are running, jumping and kicking near a vending machine","There is no man running, jumping and kicking near a vending machine",3.5,2.8529854
Three men are jumping off a wall,"Three young men are furiously running, jumping and kicking near a vending machine",1.875,1.9415089
"Three young men are running, jumping and kicking near a vending machine",Three men are jumping on a wall,2.25,1.6815023
A deer is jumping over a cyclone fence,A deer is jumping over a wall,3.5,4.179624
The deer is jumping over the fence,The deer is not jumping over the fence,3.25,3.61446
A deer is standing inside a fence,The deer is jumping over the fence,3.125,2.7415175
A deer is jumping over a cyclone fence,The deer is jumping over the fence,4.5,4.406531
The oil is being stirred by a man,The man is stirring oil,4.875,2.8435483
A man is playing a guitar,A man is playing guitar,4.875,4.4804473
Three men are practicing karate outdoors,Three boys in karate costumes are fighting,3.5,2.319816
A woman is dancing alone,A few women are holding each other and dancing together,3.125,2.0728214
Two men are playing table tennis,Two men are playing ping pong,4.125,0.024174452
Two men are playing table football,Two men are playing table tennis,2.25,4.133685
Two men are playing ping pong,A few women are holding each other and dancing together,0.0,2.2634382
Some women are holding each other in a circle and dancing,Two men are playing table tennis,0.1250000000000001,0.19633973
A woman is cutting some flowers,A woman is cutting broccoli,2.3312500000000003,2.2605507
A horse is running,A woman is cutting an onion,0.0,0.046539426
A cat is playing a keyboard,A musician is playing two keyboards,1.6249999999999998,2.4142504
There are no mimes performing,Mimes are performing on a stage,3.25,4.201478
The men are performing on stage,Mimes are performing on a small stage,3.125,3.2311769
There are no mimes performing,The men are performing on stage,1.4187499999999995,2.4416478
A man is picking up a tree,A tree is being picked up by a man,4.875,4.3320684
A trumpet is being played by a person,A man is playing the guitar,2.25,1.9166932
A person is playing a trumpet,A man is passionately playing the guitar,1.875,1.9941688
The badger is burrowing a hole,A hole is being burrowed by the badger,4.875,4.041928
The badger isn't burrowing a hole,The badger is burrowing a hole,3.75,3.5825317
The badger is burrowing a hole,There is no badger shrewdly digging the earth,3.75,3.266805
The chef is carefully pouring oil in the pan,A man is pouring liquid into a pot,2.75,3.3952987
A snake is being fed a mouse by a man,No snake is being fed a mouse by a man,4.625,3.0364184
A poor man is being fed snakes and mice,A snake is being fed a mouse by a man,1.6249999999999998,1.9713417
The man is carefully feeding a mouse to the snake,A snake is being fed a mouse by a man,4.75,3.9717138
The man is cautiously feeding a mouse to the snake,A snake is being fed a mouse by a man,4.875,3.6045601
A guy is cheerfully playing with a footbag,The man is austerely playing a piano,0.875,1.0050503
The man is playing a piano,A guy is cheerfully playing with a footbag,0.375,1.1481192
A woman is breaking two eggs in a bowl,Some ingredients are being separated in a bowl by a person,3.0625,2.211788
A person is bowling the ingredients to the man at the mixer,A woman is breaking two eggs in a bowl,1.375,1.4513843
One woman is peeling a potato,There is no woman peeling a potato,2.75,2.6584241
A woman is peeling the potato,One woman is peeling a potato,4.875,4.8902135
One woman is slowly peeling a potato,The potato is being peeled by a woman,4.375,4.9553514
The potato is being peeled by a woman,A woman is throwing a potato peel,3.0,3.1489635
A boat is sailing peacefully over the water,A boat is anchored,2.875,2.9152784
The man is a guitar player,A boat is sailing peacefully over the water,0.0,0.08160323
A man isn't pouring oil on the tomatoes.,The man is pouring oil on a few tomatoes,3.625,2.6382887
The man is pouring oil on a few tomatoes,Few men like pouring tomato oil,3.625,3.6298437
Few men like pouring tomato oil,The man is pouring some oil on the tomatoes,2.25,3.5130749
The milk is being drunk by a cat,The cat is drinking some milk,5.0,4.052263
A kitten is drinking fresh milk,A little cat is drinking fresh milk,4.33125,5.0
Milk is a kitten's drink,The milk is being drunk by a cat,3.625,4.030676
A kitten is drinking fresh milk,The milk is being drunk by a cat,4.0,3.9940345
A man is emptying a container made of plastic,A man is filling a container made of plastic,3.0,3.9825113
A man is emptying a container made of plastic,A frog is being held carelessly by a man,0.1250000000000001,1.2715753
A man is carelessly holding a frog,A man is filling a container made of plastic,0.2499999999999999,0.07823557
A man is eating onion slices,A man is slicing an onion,3.375,2.770652
An onion is being cut by a man,The onion is being cut by the man,4.875,4.653733
An onion is being cut by a man,A man is slicing an onion,4.75,4.782799
A man is recklessly riding a horse,There is no man recklessly riding a horse,3.875,4.0766397
The elephant is being ridden by the woman,The elephant is being ridden over a woman,2.5187500000000003,4.9981647
Somebody is playing the piano,The piano is being played by someone,5.0,3.8444583
