sentence1,sentence2,similarity,predicted_similarity
Two dogs are playing by a tree,There is no dog leaping in the air,2.125,1.3119884
Two dogs are playing by a tree,A dog is leaping high in the air and another is watching,2.5,1.739916
The blond girl is dancing behind the sound equipment,The blond girl is dancing in front of the sound equipment,3.625,3.5965812
The equipment in front of the blond dancing girl is sound,A girl in white is dancing,2.125,3.5763855
A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,3.125,2.5732646
A woman is wearing an Egyptian headdress,An Egyptian is wearing a woman's headdress,3.625,4.1098065
The black woman is wearing glasses over the headdress,The woman is wearing glasses and a black headdress,3.375,3.6006396
A cowboy is riding a horse and cornering a barrel,A cowgirl is riding a horse and corners a barrel,3.875,3.3953795
The brown horse is very near a red barrel at the rodeo,A cowgirl is riding a horse and corners a barrel,2.375,2.0592306
The boy is sitting near the blue ocean,The boy is wading through the blue ocean,2.75,3.3359904
A boy is standing in the water,The boy is sitting near the blue ocean,2.25,2.4458764
A man is playing a guitar on stage,A guitarist has blonde and flyaway hair,2.5,1.6208388
Two young girls are sitting on the ground,Two girls are sitting on the ground,4.25,3.4750438
A group of children in uniforms is standing at a gate and there is no one kissing the mother,A group of children in uniforms is standing at a gate and one is kissing the mother,3.5,3.4522374
A crowd of people is near the water,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,0.7500000000000001,0.40802932
A group of people is near the ocean,A group of children in uniforms is standing at a gate and one is kissing the mother,1.0,1.5717536
A man is in a parking lot and is playing tennis against a large wall,A lone man is in a parking lot and is playing tennis against a large wall,4.625,3.5069938
An Asian woman in a crowd is carrying a black bag,A cramped black train is on the bag of a girl,1.375,1.8239859
A dog is chasing another and is holding a stick in its mouth,A dog is chasing a stick and holding another dog in its mouth,2.75,4.180867
A man with tattoos is holding a couch with a pencil,A man with tattoos is lounging on a couch and holding a pencil,2.0,3.211325
A man is sitting on a chair and rubbing his eyes,A tattooed man is on a sofa and is holding a pencil,1.75,1.3785472
A man with tattoos is holding a couch with a pencil,A man is sitting on a chair and rubbing his eyes,1.25,0.4630043
A man with tattoos is lounging on a couch and holding a pencil,There is no man sitting on a chair and rubbing his eyes,0.7500000000000001,0.8067526
A brown and white dog is running through the tall grass,A black and tan dog is running through the low and green grass,3.5,3.3203444
There is no man writing a note near a bike,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,2.125,2.0504093
A group of explorers are walking through the grass,Some people are walking,3.875,3.193541
Two men are taking a break from a trip on a snowy road,Two men are taking a break from a trip on a road covered by snow,4.875,3.583284
Two men are taking a break from a trip on a snowy road,Two men are breaking into a car during a trip on a snowy road,2.5,2.8010092
Two men are standing near the water and are holding fishing poles,Two men are standing near the water and are holding tools used for fishing,4.375,3.988921
Two men are holding some water standing near fishing poles,Two men are standing near the water and are holding fishing poles,3.25,3.5680084
A woman is performing a trick on a ramp with a bicycle,A woman is jumping with a bicycle,4.125,3.7085757
A woman is performing a trick on a ramp with a bicycle,A woman is performing a trick on a ramp with a car,1.75,4.127702
A woman is jumping with a bicycle,The helmeted girl is perching on a bike,2.25,1.9538491
A blond girl is riding the waves,A blond girl waves while she is riding,2.75,3.6974125
A lady is surfing and riding a wave,A blond girl is looking at the waves,2.875,2.0893526
A lady is surfing and riding a wave,A blond girl is riding the waves,3.75,2.7636325
Two children and an adult are standing next to a tree limb,Three people are standing next to a tree limb,4.5,3.5376675
There is no child hanging on a large branch,Two children are hanging on a large branch,2.875,2.8845067
Two children and an adult are standing next to a tree limb,There is no child hanging on a large branch,1.75,1.1709422
There is no man dressed in black and riding a green bike,A man dressed in black is riding a bike,2.75,2.8882062
A man is performing a trick on a green bicycle,A man is performing a trick on a bike,4.375,4.137188
A laughing child is holding a water gun and getting sprayed with water,A child is holding a squirt gun,4.375,3.0089052
Two daschunds are playing with a red ball,Two brown dogs are fighting over a red toy and are playing in the grass,3.5,2.8702927
A black person is running along a white stand and a dog barks behind him,A little dog is sprinting and its owner is trying to catch it,1.875,2.2560358
A man isn't sitting comfortably at the table,A man is sitting comfortably at a table,3.0625,2.7249136
A man is sitting and tables a comfortable discussion,A man is sitting comfortably at a table,3.375,2.328192
A man is sitting comfortably at a table,"There is no man wearing a shirt dyed black, sitting at the table and laughing",2.25,2.485672
A man is sitting and tables a comfortable discussion,A man wearing a dyed black shirt is sitting at the table and laughing,1.75,2.7591598
A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,A pedestrian woman is building pink bicycles for boa wearing riders,2.25,3.0616336
"The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike","The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",3.75,2.8649902
"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people,2.875,2.3821363
A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike",2.0,1.7999134
"A person, who is riding a bike, is wearing gear which is black",A biker is wearing gear which is black,4.625,2.7620513
One man is wearing a black helmet and pushing a bicycle,A biker is naked,2.0,0.0
The man in a grey t-shirt is sitting on a rock in front of the waterfall,There is no man in a grey t-shirt sitting on a rock in front of the waterfall,3.125,2.9126174
The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,A woman is sitting and looking at the waterfall,2.625,1.802651
There is no man in a grey t-shirt sitting on a rock in front of the waterfall,A woman is sitting and looking at the waterfall,1.125,1.5377206
"A dog, which is brown, and a black one are running in the grass",There is no dog running in the grass,3.0,2.8089514
A black man is running in brown grass and racing a dog,"A dog, which is brown, and a black one are running in the grass",1.875,3.8654392
A dog that has a brown and white coat is sitting in shallow water,A dog that has a brown and white coat is trotting through shallow water,3.875,3.1682186
A white and brown dog is pacing through the water with difficulty,A dog that has a brown and white coat is trotting through shallow water,3.5,3.18223
A white and brown dog is walking through the water with difficulty,A dog that has a brown and white coat is trotting through shallow water,3.375,2.7154925
A group of boys are playing with a ball in front of a large door made of wood,A bunch of boys are playing with a ball in front of a large door made of wood,4.875,4.401658
A group of boys are playing with a ball in front of a large door made of wood,"The children are playing in front of a door, which is very large",3.5,3.0695837
A bunch of boys are playing with a ball in front of a large door made of wood,The children are playing in front of a large door,3.0,3.3489501
The children are playing in front of a large door,A ball made of wood is being played through a door in front of a large group of boys ,3.0,3.6026747
"A black, red, white and pink dress is being worn by a woman","A dress, which is black, red, white and pink is being worn by a woman",4.875,3.7227528
"A woman is putting on a cloak, which is very large, and concealing an extravagant dress","A black, red, white and pink dress is being worn by a woman",2.75,1.1733586
"A woman is taking off a cloak, which is very large, and revealing an extravagant dress","A black, red, white and pink dress is being worn by a woman",3.0,1.2215369
A teenage girl is wearing beads that are red,The girl likes red and isn't wearing beads for teenagers,2.25,2.8078268
"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling",3.375,3.3591437
"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",A teenage girl is wearing beads that are red,2.5,2.767175
A boy is climbing up a wall artificially built for climbing and is attached to a rope,A climber on the wall is attached to the climbing boy with an artificially built rope,4.0,3.6491616
A boy is climbing up a wall artificially built for climbing and is attached to a rope,A climbing boy rescues the fearful cat from over the wall,1.5000000000000002,2.6242898
A father is in the swimming pool during his daughters launch,A father is launching the daughter in a swimming pool,2.75,3.3348188
A dad is launching his daughter into a swimming pool,The man is tossing a kid into the swimming pool that is near the ocean,4.0,3.357707
"A person is climbing a rock with a rope, which is pink",One man is climbing the cliff with a rope,3.875,3.5815377
A young child is climbing a rock climbing wall which is indoors,A young child is under a rock climbing wall which is indoors,3.75,3.7718768
The young boy is climbing the wall made of rock,A young kid is climbing a rock climbing wall which is indoors,4.125,3.573045
A child is indoors watching a program about some young climbers on a rock wall.,The young boy is climbing the wall made of rock,3.0,3.4564316
A young boy isn't climbing a wall made of rock,A young child is climbing a rock climbing wall which is indoors,3.625,2.7157192
A young climber is making a rock wall for the boys,A young child is climbing a rock climbing wall which is indoors,2.375,2.6526988
The air is tricking a performing cyclist,The cyclist is performing a trick in the air,1.75,4.2797136
One man is doing a bicycle trick in midair,The air is tricking a performing cyclist,2.5,2.7775238
"A dog next to a tree, which is probably a pine, is biting a bucket",There is no dog which is furry and black in a back yard carrying a basket in its mouth.,2.75,2.4305773
A dog which is furry and black is in a back yard and is carrying a basket in its mouth,"A dog next to a tree, which is probably a pine, is dropping a bucket",2.25,1.7101318
A man and a woman are sitting comfortably on the bench,Two people are sitting comfortably on the bench,4.5,2.9573288
Nobody is sitting comfortably on the bench,Two large persons are sitting on a park bench and they have a bottle of soda between them,3.25,1.2150476
A man and a woman are sitting comfortably on the bench,Two large persons are sitting on a park bench and they have a bottle of soda between them,3.625,1.9402565
A few men in a competition are running outside,The man is racing for the lead ,3.0,1.1877719
A man with a camera is studying the subject,There is no man with a camera studying the subject,3.25,2.9625099
The bride and the groom are leaving after the marriage,The bride and the groom are leaving after the wedding,4.75,3.3256311
The bride and the groom are arriving after the wedding,The bride and the groom are leaving after the wedding,4.125,3.349293
A married couple is walking down the aisle,A couple who have just got married are walking down the isle,4.75,3.1994007
A married couple is walking up the aisle,The bride and the groom are leaving after the wedding,3.625,2.54428
The bride and the groom are arriving after the wedding,A married couple is walking down the aisle,3.75,3.0512824
A woman and a dog are peacefully sitting on a tree stump,A woman and a dog are sitting on a tree stump,4.375,3.69998
"A woman, who is old, is near a white dog","A woman, who is old, is far from a white dog",3.25,2.8617406
"A woman, who is old, is near a dog that has a white coat",A woman and a dog are sitting on a tree stump,2.25,2.2868857
A dog is excitedly playing with water in the grass,A snap is depicting some water falling in droplets on the dog,2.375,2.0748372
The dog is snapping at some droplets of water,A dog is excitedly playing with water in the grass,4.0,3.2971663
Two men are walking two dogs with golden coats in the snow,Two people are walking two dogs with golden coats in the snow,4.5,3.5656915
"Two people are in the snow, wearing clothes that provide camouflage","Some people are in the snow, wearing clothes that provide camouflage",4.25,3.63402
"Some people are in the snow, wearing clothes that provide camouflage",Two people are walking two dogs with golden coats in the snow,2.125,1.6237363
"Two people are in the snow, wearing clothes that provide camouflage",Two men are walking two dogs with golden coats in the snow,2.75,1.3313929
"A girl from Asia, in front of a brick window, doesn't look surprised","A girl from Asia, in front of a brick window, looks surprised",2.75,3.1750567
There is no girl wearing a t-shirt and keeping her mouth open,A girl is wearing a t-shirt and has her mouth open.,3.625,2.5613
"A girl from Asia, in front of a brick window, doesn't look surprised",A girl is wearing a t-shirt and has her mouth open.,1.375,1.1434429
There is no person in bike gear standing steadily in front of the mountains,A group of people is equipped with protective gear,1.6249999999999998,1.5117017
"A man with equipment used for climbing is hanging from a white, vertical rock.",A woman with a ponytail is climbing down a wall of rock,2.125,1.6146783
A black and a white dog are joyfully running on the grass,A black person in white is joyfully running with the dog on the grass,1.75,3.6341558
One white dog and one black one are running side by side on the grass,"A dog, which has a black coat, and a white dog are running on the grass",4.0,3.5413125
A lot of people are in an ice skating park,An ice skater is outdoors performing on a rink full of people,3.125,2.3985035
Many people are skating in an ice park,An ice skating rink placed outdoors is full of people,4.375,3.3638346
The girl in the blue and white uniform is cheering,Some cheers are being performed by the girl in the blue and white uniform,4.875,3.5808415
The girl in the blue and white uniform is cheering,The girl is cheering the man in the blue and white uniform,2.625,3.6520796
Some cheers are being performed by the girl in the blue and white uniform,"A girl in a uniform, which is blue, is raising her arm.",4.0,3.3586388
"A girl in a uniform, which is blue, is raising her arm.",The girl in the blue and white uniform is cheering,2.875,3.1243513
People are far from a beach full of sand by the ocean and are suffering from the sunny day,People are on a beach full of sand by the ocean and are enjoying a sunny day,2.375,3.1511405
People are on a beach full of sand by the ocean and are enjoying a sunny day,There is no one on the shore,3.375,2.1752086
The man is doing a wheelie with a motorbike in a field which is mostly barren,The man is doing a wheelie with a motorcycle on ground which is mostly barren,4.25,3.5523388
"The man is on ground which is mostly barren, filming a wheelie done with a motorcycle.",A man in a blue jumpsuit is courageously performing a wheelie on a motorcycle,2.0,3.423197
A man in a blue jumpsuit is failing to perform a wheelie on a motorcycle,The man is doing a wheelie with a motorcycle on ground which is mostly barren,3.0,3.1753132
The man is doing a wheelie with a motorcycle on ground which is mostly barren,A courageous performer is doing a wheelie with a motorcycle over a man in a blue jumpsuit,3.25,3.3397102
Two people are passionately kissing near a crowd,Two people are kissing near a crowd,4.25,3.9229822
Two people are arguing near a crowd,Two people are kissing near a crowd,2.5,2.1024036
The girl in the red shirt is blowing a bubble ,The girl in a dyed red shirt isn't blowing a bubble,1.75,3.108485
"The girl, who is young, is blowing a bubble that is huge",The girl in the red shirt is blowing a bubble ,3.75,3.5630176
"The young woman in a dyed red shirt, is blowing a bubble that is huge",The young girl is blowing a bubble that is huge,3.5,3.7140787
"A bubble blew, dyeing the girl's shirt red.",The young girl is blowing a bubble that is huge,2.5,2.0182927
A little boy is jumping into a puddle in the street,A little boy is jumping into a puddle on the street,4.875,3.5317616
A young child is barefoot and is walking past a puddle full of mud,A little boy is jumping into a puddle on the street,2.375,2.3520846
Two young kids are playing with a man eating corndogs,Two young kids are eating corndogs,3.625,4.1816645
Two young kids are playing with a man eating corndogs,"Two toddlers are eating corndogs in a wagon, which is really small",2.875,3.170831
Two toddlers are eating on a really small wagon full of corndogs ,Two young kids are eating corndogs,2.5,4.003525
"Two toddlers are eating corndogs in a wagon, which is really small",Two young kids are eating corndogs,4.125,4.0353203
A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny,5.0,4.065675
A man is getting on a horse on a track laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color,1.375,2.274221
A man is falling off a horse on a track and is laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color,2.125,2.0331047
"The man and the boy are standing at the bottom of the stairs, which are outdoors","A man and a boy are standing at the bottom of some stairs, which are outdoors",5.0,3.7761748
There is no adult in the amphitheater talking to a boy,"The man and the boy are standing at the bottom of the stairs, which are outdoors",1.5000000000000002,1.5055743
"A boy is standing in front of the building painted blue, in the space reserved for handicapped people",A boy is standing in front of the blue building in the space reserved for handicapped people,4.75,4.2363114
Some horses are racing furiously over the green grass and jumping an obstacle,Some horses are resting on the green grass,2.75,2.924547
"The Jockeys are racing horses on the field, which is completely green",A few horses are racing furiously over the green grass and jumping the obstacle,3.125,3.2543824
A person who is practicing snowboarding jumps into the air,A leap over white snow is greatly appealing to the snowboarders,2.375,2.1472793
A dog is near the red ball in the air,"A dog, which is small, is playing tirelessly on the green grass",2.375,2.6766267
A dog is near the red ball in the air,A small kid is playing with a green toy dog on the grass,1.0,1.4533448
A dog is far from the red ball in the air,"A dog, which is small, is playing on the green grass",1.25,2.502018
A dog is jumping in the air to catch a red ball,"A dog, which is small, is playing on the green grass",2.375,2.9194565
The person is riding a motorbike on a sandy track,A motocross rider is giving a motorbike to a person at an event,2.0,2.9896715
The person is riding a motorbike on a track on the sand,A person is riding a motorbike in the event related to motocross,3.0,3.1479611
A person is riding a motorbike in the event related to motocross,The person isn't riding a motorbike on a sandy track,2.875,2.8261552
A girl is wearing a pink shirt with white writing on it and is lying in the grass,A girl is naked and is standing on the grass,2.25,2.6138396
The young peaceful girl is lying about the grass found in the pink shirt,A girl is wearing a pink shirt with white writing on it and is lying in the grass,3.25,3.2258558
"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",A large dog is running on the grass with a tennis ball in its mouth,4.25,3.0387743
There is no woman riding a horse,A woman is riding a horse,2.25,3.048069
A woman is riding a horse,A man is opening a small package that contains headphones,0.0,0.22423042
A man is opening a small package that contains headphones,A man is opening a package that contains headphones,4.125,3.564472
There is no man singing and playing the guitar,A man is singing and playing the guitar,2.0,3.1677992
A man is opening a package that doesn't contain headphones,A man is singing and playing the guitar,0.1250000000000001,0.38850588
A dog is riding a skateboard,An animal is riding a skateboard,4.375,4.2036414
The turtle is following the fish,The fish is following the turtle,3.5,4.101223
The fish is following the turtle,A sea turtle is hunting for fish,2.75,3.2289526
A fish is hunting for a turtle in the sea,The turtle is following the fish,3.125,3.7681575
There is no man driving the car,A man is driving a car,3.25,3.3770602
A woman is dipping a prawn in batter,A woman is dipping a shrimp in batter,4.25,4.1082926
A woman is dipping a prawn in batter,A man is driving a car,0.0,0.43209448
A man is playing a piano at a concert,A man is playing a guitar,2.25,3.5431373
A woman is adding ingredients to a big bowl,A woman is adding ingredients to a bowl,4.5,4.134054
A woman is cracking some eggs into a bowl,A woman is cracking some eggs outside a bowl,3.25,4.090423
A woman is cracking some eggs into a container,A woman is adding ingredients to a bowl,4.125,2.8495336
A woman is adding ingredients to a big bowl,A woman is cracking some eggs into a bowl,4.125,3.1289408
A woman is cracking some eggs into a bowl,A woman is adding ingredients to a bowl,3.875,3.5509205
There is no woman slicing a potato,A woman is slicing a potato,3.625,3.3230152
A potato is being sliced by a woman,A woman is slicing a carrot,2.5,3.11242
A woman is slicing a potato,There is no woman slicing a carrot,2.75,1.6322972
A man and a woman are walking through a desert area,A man and a woman are walking through a wooded area,3.25,3.7798667
A man and a woman are walking together through the woods,A man and a woman are walking through a desert area,3.5,4.177441
A man is speaking on a podium,A podium is where a man is speaking,4.75,3.8649445
A man is tanking on a stage in front of a crowd,A man is speaking on a stage,3.0,3.0284793
A man is speaking about the stage,A man is speaking on a stage,3.20625,4.0161867
A man is speaking on a podium,There is no man speaking on a stage,3.0,3.1714838
A man is speaking about the stage,A man is speaking on a podium,3.375,3.3984
A man is speaking on a stage,A podium is where a man is speaking,3.75,3.591174
A man is speaking on a stage,A man is speaking on a podium,4.125,3.8677313
A woman is not talking on a telephone,Two boys are talking on the phone,2.25,2.3807714
A woman is talking on a telephone,Two boys are talking on the phone,2.625,3.0742617
A man is cutting a bun,A man is slicing a tomato,2.375,2.6408706
A man is slicing a bun,A man is slicing a tomato,3.25,3.1504457
A woman is dancing and singing in the rain,There is no woman dancing and singing in the rain,3.5,3.2401223
Some women are dancing and singing ,A woman is dancing and singing in the rain,3.5,3.9469543
A woman is dancing and singing with other women,A woman is dancing and singing in the rain,3.875,4.1120434
A woman is removing the peel of a potato,A woman is slicing a tomato,2.75,2.8380857
There is no woman mixing eggs,A woman is mixing eggs,2.625,3.118377
A band is performing onstage,A band is performing on a stage,5.0,3.988826
A band is playing on a stage,A band is playing onstage,5.0,4.126365
A band is performing on a stage,A band is playing onstage,4.875,4.367342
There is no man mixing,A man is mixing,3.375,2.586135
A cat is swinging on a fan,A cat is stuck on a ceiling fan that is moving,3.875,3.419698
There is no man playing soccer,A man is playing soccer,4.75,2.5503638
A man is playing flute,There is no man playing soccer,0.375,0.576748
There is no man playing flute,A man is playing soccer,0.1250000000000001,0.3320625
A person is performing a card trick,Nobody is performing a card trick,2.625,3.9550803
A person is performing a card trick,There is no man frying a tortilla,0.0,0.0
A boy is spanking a man with a plastic sword,A boy is whacking a man with a sword,4.125,4.152968
The woman is measuring the other woman,The lady isn't measuring the ankle of another woman,2.375,1.9286778
A man is talking on the phone,A man is making a phone call,4.125,3.8844101
A man is talking on a cell phone,A man is making a phone call,4.125,4.0303035
There is no dog rolling from side to side,A dog is rolling from side to side,3.5,2.9887867
There is no dog rolling from side to side,A puppy is repeatedly rolling from side to side on its back,3.5,2.6770473
A pencil is being shaved by the machine,A machine is sharpening a pencil,4.0,3.454914
A man is playing a keyboard in a park,A man is playing a keyboard,3.875,4.2428737
A person is chopping a red onion,A person is chopping an onion,4.5,3.9015281
A person is riding a motorcycle,A person is chopping a red onion,0.2499999999999999,0.043899976
A person is riding a motorcycle,A person is chopping an onion,0.4999999999999999,0.15417081
A man is screaming,A man is scared,3.25,2.3039088
Butter is being chopped into a container by a man,A man is chopping butter into a container,5.0,4.9914284
A woman is not cutting shrimps,A woman is cutting shrimps,3.125,3.1088197
A woman is not cutting shrimps,A man is chopping butter into a container,1.0,1.0558864
Women are sawing logs,Men are sawing logs,3.75,3.7247245
A woman is chopping a red onion,A woman is chopping an onion,4.375,4.030213
A woman is slicing meat with a sharp knife,A woman is slicing meat with a knife,4.375,4.5088253
A woman is slicing meat with a sharp knife,A man is spreading dough,0.1062499999999999,0.5219776
A man is resting,A man is exercising,3.375,2.5356305
A man is doing physical activity,A baby is laughing,0.1250000000000001,0.0
"Three young men are running, jumping and kicking near a vending machine","There is no man running, jumping and kicking near a vending machine",3.5,3.2175682
Three men are jumping off a wall,"Three young men are furiously running, jumping and kicking near a vending machine",1.875,2.2342124
"Three young men are running, jumping and kicking near a vending machine",Three men are jumping on a wall,2.25,2.1748605
A deer is jumping over a cyclone fence,A deer is jumping over a wall,3.5,3.7142777
The deer is jumping over the fence,The deer is not jumping over the fence,3.25,3.0470464
A deer is standing inside a fence,The deer is jumping over the fence,3.125,2.8296082
A deer is jumping over a cyclone fence,The deer is jumping over the fence,4.5,4.0275254
The oil is being stirred by a man,The man is stirring oil,4.875,3.1915927
A man is playing a guitar,A man is playing guitar,4.875,4.292331
Three men are practicing karate outdoors,Three boys in karate costumes are fighting,3.5,2.995179
A woman is dancing alone,A few women are holding each other and dancing together,3.125,2.7123077
Two men are playing table tennis,Two men are playing ping pong,4.125,4.341339
Two men are playing table football,Two men are playing table tennis,2.25,3.5753179
Two men are playing ping pong,A few women are holding each other and dancing together,0.0,0.34824196
Some women are holding each other in a circle and dancing,Two men are playing table tennis,0.1250000000000001,0.097700976
A woman is cutting some flowers,A woman is cutting broccoli,2.3312500000000003,2.042418
A horse is running,A woman is cutting an onion,0.0,0.0
A cat is playing a keyboard,A musician is playing two keyboards,1.6249999999999998,1.9851228
There are no mimes performing,Mimes are performing on a stage,3.25,3.003025
The men are performing on stage,Mimes are performing on a small stage,3.125,3.6260872
There are no mimes performing,The men are performing on stage,1.4187499999999995,2.8653076
A man is picking up a tree,A tree is being picked up by a man,4.875,3.7669823
A trumpet is being played by a person,A man is playing the guitar,2.25,3.243283
A person is playing a trumpet,A man is passionately playing the guitar,1.875,3.2839806
The badger is burrowing a hole,A hole is being burrowed by the badger,4.875,4.534821
The badger isn't burrowing a hole,The badger is burrowing a hole,3.75,3.3885076
The badger is burrowing a hole,There is no badger shrewdly digging the earth,3.75,2.7629335
The chef is carefully pouring oil in the pan,A man is pouring liquid into a pot,2.75,3.0948095
A snake is being fed a mouse by a man,No snake is being fed a mouse by a man,4.625,3.8272114
A poor man is being fed snakes and mice,A snake is being fed a mouse by a man,1.6249999999999998,2.6374307
The man is carefully feeding a mouse to the snake,A snake is being fed a mouse by a man,4.75,4.027094
The man is cautiously feeding a mouse to the snake,A snake is being fed a mouse by a man,4.875,3.9557521
A guy is cheerfully playing with a footbag,The man is austerely playing a piano,0.875,0.9415309
The man is playing a piano,A guy is cheerfully playing with a footbag,0.375,0.4799257
A woman is breaking two eggs in a bowl,Some ingredients are being separated in a bowl by a person,3.0625,3.3930259
A person is bowling the ingredients to the man at the mixer,A woman is breaking two eggs in a bowl,1.375,0.52021205
One woman is peeling a potato,There is no woman peeling a potato,2.75,2.9775577
A woman is peeling the potato,One woman is peeling a potato,4.875,4.2278714
One woman is slowly peeling a potato,The potato is being peeled by a woman,4.375,4.362267
The potato is being peeled by a woman,A woman is throwing a potato peel,3.0,4.806868
A boat is sailing peacefully over the water,A boat is anchored,2.875,2.747667
The man is a guitar player,A boat is sailing peacefully over the water,0.0,0.0
A man isn't pouring oil on the tomatoes.,The man is pouring oil on a few tomatoes,3.625,3.0723822
The man is pouring oil on a few tomatoes,Few men like pouring tomato oil,3.625,2.6965375
Few men like pouring tomato oil,The man is pouring some oil on the tomatoes,2.25,3.2653146
The milk is being drunk by a cat,The cat is drinking some milk,5.0,4.4456506
A kitten is drinking fresh milk,A little cat is drinking fresh milk,4.33125,4.367245
Milk is a kitten's drink,The milk is being drunk by a cat,3.625,4.3651066
A kitten is drinking fresh milk,The milk is being drunk by a cat,4.0,4.607082
A man is emptying a container made of plastic,A man is filling a container made of plastic,3.0,3.8676345
A man is emptying a container made of plastic,A frog is being held carelessly by a man,0.1250000000000001,0.2130235
A man is carelessly holding a frog,A man is filling a container made of plastic,0.2499999999999999,1.6333658
A man is eating onion slices,A man is slicing an onion,3.375,4.8613977
An onion is being cut by a man,The onion is being cut by the man,4.875,4.7229166
An onion is being cut by a man,A man is slicing an onion,4.75,4.698534
A man is recklessly riding a horse,There is no man recklessly riding a horse,3.875,3.1855154
The elephant is being ridden by the woman,The elephant is being ridden over a woman,2.5187500000000003,4.3479414
Somebody is playing the piano,The piano is being played by someone,5.0,3.9371877
