sentence1,sentence2,similarity,predicted_similarity
"A person is climbing a rock with a rope, which is pink",One man is climbing the cliff with a rope,3.875,3.9562855
A young child is climbing a rock climbing wall which is indoors,A young child is under a rock climbing wall which is indoors,3.75,4.3243127
The young boy is climbing the wall made of rock,A young kid is climbing a rock climbing wall which is indoors,4.125,4.4676433
A child is indoors watching a program about some young climbers on a rock wall.,The young boy is climbing the wall made of rock,3.0,3.923177
A young boy isn't climbing a wall made of rock,A young child is climbing a rock climbing wall which is indoors,3.625,3.312956
A young climber is making a rock wall for the boys,A young child is climbing a rock climbing wall which is indoors,2.375,3.752408
The air is tricking a performing cyclist,The cyclist is performing a trick in the air,1.75,4.759588
One man is doing a bicycle trick in midair,The air is tricking a performing cyclist,2.5,3.4129233
"A dog next to a tree, which is probably a pine, is biting a bucket",There is no dog which is furry and black in a back yard carrying a basket in its mouth.,2.75,2.4579751
A dog which is furry and black is in a back yard and is carrying a basket in its mouth,"A dog next to a tree, which is probably a pine, is dropping a bucket",2.25,2.2810824
A man and a woman are sitting comfortably on the bench,Two people are sitting comfortably on the bench,4.5,4.092205
Nobody is sitting comfortably on the bench,Two large persons are sitting on a park bench and they have a bottle of soda between them,3.25,2.250232
A man and a woman are sitting comfortably on the bench,Two large persons are sitting on a park bench and they have a bottle of soda between them,3.625,2.866264
A few men in a competition are running outside,The man is racing for the lead ,3.0,1.8890164
A man with a camera is studying the subject,There is no man with a camera studying the subject,3.25,3.2075937
The bride and the groom are leaving after the marriage,The bride and the groom are leaving after the wedding,4.75,4.242618
The bride and the groom are arriving after the wedding,The bride and the groom are leaving after the wedding,4.125,4.1886773
A married couple is walking down the aisle,A couple who have just got married are walking down the isle,4.75,3.346785
A married couple is walking up the aisle,The bride and the groom are leaving after the wedding,3.625,2.2364392
The bride and the groom are arriving after the wedding,A married couple is walking down the aisle,3.75,3.6531913
A woman and a dog are peacefully sitting on a tree stump,A woman and a dog are sitting on a tree stump,4.375,4.1547246
"A woman, who is old, is near a white dog","A woman, who is old, is far from a white dog",3.25,2.8148737
"A woman, who is old, is near a dog that has a white coat",A woman and a dog are sitting on a tree stump,2.25,2.456793
A dog is excitedly playing with water in the grass,A snap is depicting some water falling in droplets on the dog,2.375,2.9892614
The dog is snapping at some droplets of water,A dog is excitedly playing with water in the grass,4.0,3.2035341
Two men are walking two dogs with golden coats in the snow,Two people are walking two dogs with golden coats in the snow,4.5,4.1122646
"Two people are in the snow, wearing clothes that provide camouflage","Some people are in the snow, wearing clothes that provide camouflage",4.25,3.652698
"Some people are in the snow, wearing clothes that provide camouflage",Two people are walking two dogs with golden coats in the snow,2.125,1.9496628
"Two people are in the snow, wearing clothes that provide camouflage",Two men are walking two dogs with golden coats in the snow,2.75,1.9809319
"A girl from Asia, in front of a brick window, doesn't look surprised","A girl from Asia, in front of a brick window, looks surprised",2.75,3.3980598
There is no girl wearing a t-shirt and keeping her mouth open,A girl is wearing a t-shirt and has her mouth open.,3.625,2.992645
"A girl from Asia, in front of a brick window, doesn't look surprised",A girl is wearing a t-shirt and has her mouth open.,1.375,1.3544974
There is no person in bike gear standing steadily in front of the mountains,A group of people is equipped with protective gear,1.6249999999999998,2.0893388
"A man with equipment used for climbing is hanging from a white, vertical rock.",A woman with a ponytail is climbing down a wall of rock,2.125,1.9439844
A black and a white dog are joyfully running on the grass,A black person in white is joyfully running with the dog on the grass,1.75,4.2027907
One white dog and one black one are running side by side on the grass,"A dog, which has a black coat, and a white dog are running on the grass",4.0,3.8768244
A lot of people are in an ice skating park,An ice skater is outdoors performing on a rink full of people,3.125,3.0571332
Many people are skating in an ice park,An ice skating rink placed outdoors is full of people,4.375,3.7806406
The girl in the blue and white uniform is cheering,Some cheers are being performed by the girl in the blue and white uniform,4.875,3.293884
The girl in the blue and white uniform is cheering,The girl is cheering the man in the blue and white uniform,2.625,3.6651423
Some cheers are being performed by the girl in the blue and white uniform,"A girl in a uniform, which is blue, is raising her arm.",4.0,2.9070582
"A girl in a uniform, which is blue, is raising her arm.",The girl in the blue and white uniform is cheering,2.875,3.123535
People are far from a beach full of sand by the ocean and are suffering from the sunny day,People are on a beach full of sand by the ocean and are enjoying a sunny day,2.375,4.414443
People are on a beach full of sand by the ocean and are enjoying a sunny day,There is no one on the shore,3.375,2.1313412
The man is doing a wheelie with a motorbike in a field which is mostly barren,The man is doing a wheelie with a motorcycle on ground which is mostly barren,4.25,4.123608
"The man is on ground which is mostly barren, filming a wheelie done with a motorcycle.",A man in a blue jumpsuit is courageously performing a wheelie on a motorcycle,2.0,3.2751913
A man in a blue jumpsuit is failing to perform a wheelie on a motorcycle,The man is doing a wheelie with a motorcycle on ground which is mostly barren,3.0,3.5325894
The man is doing a wheelie with a motorcycle on ground which is mostly barren,A courageous performer is doing a wheelie with a motorcycle over a man in a blue jumpsuit,3.25,3.3471048
Two people are passionately kissing near a crowd,Two people are kissing near a crowd,4.25,4.3660583
Two people are arguing near a crowd,Two people are kissing near a crowd,2.5,2.8478374
The girl in the red shirt is blowing a bubble ,The girl in a dyed red shirt isn't blowing a bubble,1.75,3.0746562
"The girl, who is young, is blowing a bubble that is huge",The girl in the red shirt is blowing a bubble ,3.75,3.4086382
"The young woman in a dyed red shirt, is blowing a bubble that is huge",The young girl is blowing a bubble that is huge,3.5,3.4507399
"A bubble blew, dyeing the girl's shirt red.",The young girl is blowing a bubble that is huge,2.5,2.4172497
A little boy is jumping into a puddle in the street,A little boy is jumping into a puddle on the street,4.875,4.3958006
A young child is barefoot and is walking past a puddle full of mud,A little boy is jumping into a puddle on the street,2.375,3.1968055
Two young kids are playing with a man eating corndogs,Two young kids are eating corndogs,3.625,4.7754283
Two young kids are playing with a man eating corndogs,"Two toddlers are eating corndogs in a wagon, which is really small",2.875,4.064368
Two toddlers are eating on a really small wagon full of corndogs ,Two young kids are eating corndogs,2.5,4.1763606
"Two toddlers are eating corndogs in a wagon, which is really small",Two young kids are eating corndogs,4.125,4.175833
A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny,5.0,4.1384063
A man is getting on a horse on a track laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color,1.375,2.4926136
A man is falling off a horse on a track and is laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color,2.125,2.214167
"The man and the boy are standing at the bottom of the stairs, which are outdoors","A man and a boy are standing at the bottom of some stairs, which are outdoors",5.0,3.8170085
There is no adult in the amphitheater talking to a boy,"The man and the boy are standing at the bottom of the stairs, which are outdoors",1.5000000000000002,1.6021433
"A boy is standing in front of the building painted blue, in the space reserved for handicapped people",A boy is standing in front of the blue building in the space reserved for handicapped people,4.75,4.2092357
Some horses are racing furiously over the green grass and jumping an obstacle,Some horses are resting on the green grass,2.75,4.025918
"The Jockeys are racing horses on the field, which is completely green",A few horses are racing furiously over the green grass and jumping the obstacle,3.125,3.3177414
A person who is practicing snowboarding jumps into the air,A leap over white snow is greatly appealing to the snowboarders,2.375,1.792399
A dog is near the red ball in the air,"A dog, which is small, is playing tirelessly on the green grass",2.375,1.6165165
A dog is near the red ball in the air,A small kid is playing with a green toy dog on the grass,1.0,1.6969653
A dog is far from the red ball in the air,"A dog, which is small, is playing on the green grass",1.25,1.8632762
A dog is jumping in the air to catch a red ball,"A dog, which is small, is playing on the green grass",2.375,2.3294804
The person is riding a motorbike on a sandy track,A motocross rider is giving a motorbike to a person at an event,2.0,2.6972547
The person is riding a motorbike on a track on the sand,A person is riding a motorbike in the event related to motocross,3.0,3.4327857
A person is riding a motorbike in the event related to motocross,The person isn't riding a motorbike on a sandy track,2.875,3.0528305
A girl is wearing a pink shirt with white writing on it and is lying in the grass,A girl is naked and is standing on the grass,2.25,2.7061415
The young peaceful girl is lying about the grass found in the pink shirt,A girl is wearing a pink shirt with white writing on it and is lying in the grass,3.25,3.2056582
"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",A large dog is running on the grass with a tennis ball in its mouth,4.25,3.5518546
There is no woman riding a horse,A woman is riding a horse,2.25,3.473493
A woman is riding a horse,A man is opening a small package that contains headphones,0.0,0.42008355
A man is opening a small package that contains headphones,A man is opening a package that contains headphones,4.125,3.5596004
There is no man singing and playing the guitar,A man is singing and playing the guitar,2.0,3.6958275
A man is opening a package that doesn't contain headphones,A man is singing and playing the guitar,0.1250000000000001,0.43707246
A dog is riding a skateboard,An animal is riding a skateboard,4.375,3.8151445
The turtle is following the fish,The fish is following the turtle,3.5,4.2389836
The fish is following the turtle,A sea turtle is hunting for fish,2.75,3.9878538
A fish is hunting for a turtle in the sea,The turtle is following the fish,3.125,3.4851596
There is no man driving the car,A man is driving a car,3.25,3.5666256
A woman is dipping a prawn in batter,A woman is dipping a shrimp in batter,4.25,4.452409
A woman is dipping a prawn in batter,A man is driving a car,0.0,0.35936373
A man is playing a piano at a concert,A man is playing a guitar,2.25,3.9105744
A woman is adding ingredients to a big bowl,A woman is adding ingredients to a bowl,4.5,4.2678614
A woman is cracking some eggs into a bowl,A woman is cracking some eggs outside a bowl,3.25,4.0160794
A woman is cracking some eggs into a container,A woman is adding ingredients to a bowl,4.125,2.552393
A woman is adding ingredients to a big bowl,A woman is cracking some eggs into a bowl,4.125,3.8152432
A woman is cracking some eggs into a bowl,A woman is adding ingredients to a bowl,3.875,3.0199533
There is no woman slicing a potato,A woman is slicing a potato,3.625,3.255081
A potato is being sliced by a woman,A woman is slicing a carrot,2.5,3.09838
A woman is slicing a potato,There is no woman slicing a carrot,2.75,2.016234
A man and a woman are walking through a desert area,A man and a woman are walking through a wooded area,3.25,4.0307207
A man and a woman are walking together through the woods,A man and a woman are walking through a desert area,3.5,4.040131
A man is speaking on a podium,A podium is where a man is speaking,4.75,4.720279
A man is tanking on a stage in front of a crowd,A man is speaking on a stage,3.0,3.581337
A man is speaking about the stage,A man is speaking on a stage,3.20625,4.502002
A man is speaking on a podium,There is no man speaking on a stage,3.0,3.4933062
A man is speaking about the stage,A man is speaking on a podium,3.375,3.9574568
A man is speaking on a stage,A podium is where a man is speaking,3.75,4.379078
A man is speaking on a stage,A man is speaking on a podium,4.125,4.4676423
A woman is not talking on a telephone,Two boys are talking on the phone,2.25,2.3525324
A woman is talking on a telephone,Two boys are talking on the phone,2.625,2.7100794
A man is cutting a bun,A man is slicing a tomato,2.375,2.4276762
A man is slicing a bun,A man is slicing a tomato,3.25,3.1464374
A woman is dancing and singing in the rain,There is no woman dancing and singing in the rain,3.5,3.5612762
Some women are dancing and singing ,A woman is dancing and singing in the rain,3.5,4.234506
A woman is dancing and singing with other women,A woman is dancing and singing in the rain,3.875,4.1033483
A woman is removing the peel of a potato,A woman is slicing a tomato,2.75,3.024897
There is no woman mixing eggs,A woman is mixing eggs,2.625,3.5437737
A band is performing onstage,A band is performing on a stage,5.0,4.3991137
A band is playing on a stage,A band is playing onstage,5.0,4.965373
A band is performing on a stage,A band is playing onstage,4.875,5.0
There is no man mixing,A man is mixing,3.375,2.940204
A cat is swinging on a fan,A cat is stuck on a ceiling fan that is moving,3.875,3.6090682
There is no man playing soccer,A man is playing soccer,4.75,3.2450883
A man is playing flute,There is no man playing soccer,0.375,0.68206614
There is no man playing flute,A man is playing soccer,0.1250000000000001,0.7497738
A person is performing a card trick,Nobody is performing a card trick,2.625,3.8595157
A person is performing a card trick,There is no man frying a tortilla,0.0,0.0
A boy is spanking a man with a plastic sword,A boy is whacking a man with a sword,4.125,3.8820658
The woman is measuring the other woman,The lady isn't measuring the ankle of another woman,2.375,1.8941176
A man is talking on the phone,A man is making a phone call,4.125,3.9940207
A man is talking on a cell phone,A man is making a phone call,4.125,4.2554464
There is no dog rolling from side to side,A dog is rolling from side to side,3.5,3.1527877
There is no dog rolling from side to side,A puppy is repeatedly rolling from side to side on its back,3.5,2.6640437
A pencil is being shaved by the machine,A machine is sharpening a pencil,4.0,4.0495095
A man is playing a keyboard in a park,A man is playing a keyboard,3.875,4.753728
A person is chopping a red onion,A person is chopping an onion,4.5,4.2374525
A person is riding a motorcycle,A person is chopping a red onion,0.2499999999999999,0.23127234
A person is riding a motorcycle,A person is chopping an onion,0.4999999999999999,0.21314844
A man is screaming,A man is scared,3.25,2.296575
Butter is being chopped into a container by a man,A man is chopping butter into a container,5.0,5.0
A woman is not cutting shrimps,A woman is cutting shrimps,3.125,3.0727148
A woman is not cutting shrimps,A man is chopping butter into a container,1.0,0.8990992
Women are sawing logs,Men are sawing logs,3.75,3.5988812
A woman is chopping a red onion,A woman is chopping an onion,4.375,4.1940904
A woman is slicing meat with a sharp knife,A woman is slicing meat with a knife,4.375,4.686394
A woman is slicing meat with a sharp knife,A man is spreading dough,0.1062499999999999,0.8196088
A man is resting,A man is exercising,3.375,3.242189
A man is doing physical activity,A baby is laughing,0.1250000000000001,0.2900272
"Three young men are running, jumping and kicking near a vending machine","There is no man running, jumping and kicking near a vending machine",3.5,3.3274448
Three men are jumping off a wall,"Three young men are furiously running, jumping and kicking near a vending machine",1.875,2.2941384
"Three young men are running, jumping and kicking near a vending machine",Three men are jumping on a wall,2.25,2.266239
A deer is jumping over a cyclone fence,A deer is jumping over a wall,3.5,4.289454
The deer is jumping over the fence,The deer is not jumping over the fence,3.25,3.2594442
A deer is standing inside a fence,The deer is jumping over the fence,3.125,3.2968955
A deer is jumping over a cyclone fence,The deer is jumping over the fence,4.5,4.589195
The oil is being stirred by a man,The man is stirring oil,4.875,3.940958
A man is playing a guitar,A man is playing guitar,4.875,4.8883457
Three men are practicing karate outdoors,Three boys in karate costumes are fighting,3.5,3.3573828
A woman is dancing alone,A few women are holding each other and dancing together,3.125,3.3602872
Two men are playing table tennis,Two men are playing ping pong,4.125,4.569418
Two men are playing table football,Two men are playing table tennis,2.25,4.224572
Two men are playing ping pong,A few women are holding each other and dancing together,0.0,1.3824468
Some women are holding each other in a circle and dancing,Two men are playing table tennis,0.1250000000000001,0.881644
A woman is cutting some flowers,A woman is cutting broccoli,2.3312500000000003,2.0927613
A horse is running,A woman is cutting an onion,0.0,0.0
A cat is playing a keyboard,A musician is playing two keyboards,1.6249999999999998,2.0671139
There are no mimes performing,Mimes are performing on a stage,3.25,3.391406
The men are performing on stage,Mimes are performing on a small stage,3.125,4.5187902
There are no mimes performing,The men are performing on stage,1.4187499999999995,2.8910017
A man is picking up a tree,A tree is being picked up by a man,4.875,4.2990494
A trumpet is being played by a person,A man is playing the guitar,2.25,2.7394838
A person is playing a trumpet,A man is passionately playing the guitar,1.875,2.6365337
The badger is burrowing a hole,A hole is being burrowed by the badger,4.875,4.703579
The badger isn't burrowing a hole,The badger is burrowing a hole,3.75,3.5189228
The badger is burrowing a hole,There is no badger shrewdly digging the earth,3.75,2.9623358
The chef is carefully pouring oil in the pan,A man is pouring liquid into a pot,2.75,2.9249523
A snake is being fed a mouse by a man,No snake is being fed a mouse by a man,4.625,3.4532223
A poor man is being fed snakes and mice,A snake is being fed a mouse by a man,1.6249999999999998,2.7708867
The man is carefully feeding a mouse to the snake,A snake is being fed a mouse by a man,4.75,4.890607
The man is cautiously feeding a mouse to the snake,A snake is being fed a mouse by a man,4.875,4.753751
A guy is cheerfully playing with a footbag,The man is austerely playing a piano,0.875,0.46164274
The man is playing a piano,A guy is cheerfully playing with a footbag,0.375,1.5181763
A woman is breaking two eggs in a bowl,Some ingredients are being separated in a bowl by a person,3.0625,3.3524098
A person is bowling the ingredients to the man at the mixer,A woman is breaking two eggs in a bowl,1.375,0.56153077
One woman is peeling a potato,There is no woman peeling a potato,2.75,3.0486836
A woman is peeling the potato,One woman is peeling a potato,4.875,4.3546987
One woman is slowly peeling a potato,The potato is being peeled by a woman,4.375,4.5948415
The potato is being peeled by a woman,A woman is throwing a potato peel,3.0,4.9168267
A boat is sailing peacefully over the water,A boat is anchored,2.875,3.948823
The man is a guitar player,A boat is sailing peacefully over the water,0.0,0.0
A man isn't pouring oil on the tomatoes.,The man is pouring oil on a few tomatoes,3.625,3.2263508
The man is pouring oil on a few tomatoes,Few men like pouring tomato oil,3.625,2.9899611
Few men like pouring tomato oil,The man is pouring some oil on the tomatoes,2.25,3.4398365
The milk is being drunk by a cat,The cat is drinking some milk,5.0,3.9883473
A kitten is drinking fresh milk,A little cat is drinking fresh milk,4.33125,3.9977286
Milk is a kitten's drink,The milk is being drunk by a cat,3.625,3.866824
A kitten is drinking fresh milk,The milk is being drunk by a cat,4.0,3.7604358
A man is emptying a container made of plastic,A man is filling a container made of plastic,3.0,3.7424388
A man is emptying a container made of plastic,A frog is being held carelessly by a man,0.1250000000000001,0.3337423
A man is carelessly holding a frog,A man is filling a container made of plastic,0.2499999999999999,0.31836975
A man is eating onion slices,A man is slicing an onion,3.375,3.9945724
An onion is being cut by a man,The onion is being cut by the man,4.875,4.8577633
An onion is being cut by a man,A man is slicing an onion,4.75,4.367843
A man is recklessly riding a horse,There is no man recklessly riding a horse,3.875,3.1343777
The elephant is being ridden by the woman,The elephant is being ridden over a woman,2.5187500000000003,4.2930613
Somebody is playing the piano,The piano is being played by someone,5.0,4.6447306
