sentence1,sentence2,similarity,predicted_similarity
A group of children in uniforms is standing at a gate and there is no one kissing the mother,A group of children in uniforms is standing at a gate and one is kissing the mother,3.5,3.0359573
A crowd of people is near the water,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,0.7500000000000001,3.0359814
A group of people is near the ocean,A group of children in uniforms is standing at a gate and one is kissing the mother,1.0,3.0359342
A man is in a parking lot and is playing tennis against a large wall,A lone man is in a parking lot and is playing tennis against a large wall,4.625,3.0359297
An Asian woman in a crowd is carrying a black bag,A cramped black train is on the bag of a girl,1.375,3.0359192
A dog is chasing another and is holding a stick in its mouth,A dog is chasing a stick and holding another dog in its mouth,2.75,3.0359192
A man with tattoos is holding a couch with a pencil,A man with tattoos is lounging on a couch and holding a pencil,2.0,3.0359206
A man is sitting on a chair and rubbing his eyes,A tattooed man is on a sofa and is holding a pencil,1.75,3.0359197
A man with tattoos is holding a couch with a pencil,A man is sitting on a chair and rubbing his eyes,1.25,3.0359192
A man with tattoos is lounging on a couch and holding a pencil,There is no man sitting on a chair and rubbing his eyes,0.7500000000000001,3.0359204
A brown and white dog is running through the tall grass,A black and tan dog is running through the low and green grass,3.5,3.0359206
There is no man writing a note near a bike,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,2.125,3.0359406
A group of explorers are walking through the grass,Some people are walking,3.875,3.0359192
Two men are taking a break from a trip on a snowy road,Two men are taking a break from a trip on a road covered by snow,4.875,3.0359223
Two men are taking a break from a trip on a snowy road,Two men are breaking into a car during a trip on a snowy road,2.5,3.0359204
Two men are standing near the water and are holding fishing poles,Two men are standing near the water and are holding tools used for fishing,4.375,3.0359228
Two men are holding some water standing near fishing poles,Two men are standing near the water and are holding fishing poles,3.25,3.03592
A woman is performing a trick on a ramp with a bicycle,A woman is jumping with a bicycle,4.125,3.0359197
A woman is performing a trick on a ramp with a bicycle,A woman is performing a trick on a ramp with a car,1.75,3.0359192
A woman is jumping with a bicycle,The helmeted girl is perching on a bike,2.25,3.0359192
A blond girl is riding the waves,A blond girl waves while she is riding,2.75,3.0359192
A lady is surfing and riding a wave,A blond girl is looking at the waves,2.875,3.0359192
A lady is surfing and riding a wave,A blond girl is riding the waves,3.75,3.0359192
Two children and an adult are standing next to a tree limb,Three people are standing next to a tree limb,4.5,3.0359192
There is no child hanging on a large branch,Two children are hanging on a large branch,2.875,3.0359192
Two children and an adult are standing next to a tree limb,There is no child hanging on a large branch,1.75,3.0359192
There is no man dressed in black and riding a green bike,A man dressed in black is riding a bike,2.75,3.0359197
A man is performing a trick on a green bicycle,A man is performing a trick on a bike,4.375,3.0359192
A laughing child is holding a water gun and getting sprayed with water,A child is holding a squirt gun,4.375,3.0359204
Two daschunds are playing with a red ball,Two brown dogs are fighting over a red toy and are playing in the grass,3.5,3.0359247
A black person is running along a white stand and a dog barks behind him,A little dog is sprinting and its owner is trying to catch it,1.875,3.0359218
A man isn't sitting comfortably at the table,A man is sitting comfortably at a table,3.0625,3.0359192
A man is sitting and tables a comfortable discussion,A man is sitting comfortably at a table,3.375,3.0359192
A man is sitting comfortably at a table,"There is no man wearing a shirt dyed black, sitting at the table and laughing",2.25,3.0359223
A man is sitting and tables a comfortable discussion,A man wearing a dyed black shirt is sitting at the table and laughing,1.75,3.0359204
A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,A pedestrian woman is building pink bicycles for boa wearing riders,2.25,3.0359223
"The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike","The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",3.75,3.035935
"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people,2.875,3.0359385
A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike",2.0,3.0359244
"A person, who is riding a bike, is wearing gear which is black",A biker is wearing gear which is black,4.625,3.0359201
One man is wearing a black helmet and pushing a bicycle,A biker is naked,2.0,3.0359192
The man in a grey t-shirt is sitting on a rock in front of the waterfall,There is no man in a grey t-shirt sitting on a rock in front of the waterfall,3.125,3.0359473
The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,A woman is sitting and looking at the waterfall,2.625,3.0359347
There is no man in a grey t-shirt sitting on a rock in front of the waterfall,A woman is sitting and looking at the waterfall,1.125,3.0359373
"A dog, which is brown, and a black one are running in the grass",There is no dog running in the grass,3.0,3.035924
A black man is running in brown grass and racing a dog,"A dog, which is brown, and a black one are running in the grass",1.875,3.0359232
A dog that has a brown and white coat is sitting in shallow water,A dog that has a brown and white coat is trotting through shallow water,3.875,3.0359194
A white and brown dog is pacing through the water with difficulty,A dog that has a brown and white coat is trotting through shallow water,3.5,3.0359228
A white and brown dog is walking through the water with difficulty,A dog that has a brown and white coat is trotting through shallow water,3.375,3.0359228
A group of boys are playing with a ball in front of a large door made of wood,A bunch of boys are playing with a ball in front of a large door made of wood,4.875,3.0359194
A group of boys are playing with a ball in front of a large door made of wood,"The children are playing in front of a door, which is very large",3.5,3.0359836
A bunch of boys are playing with a ball in front of a large door made of wood,The children are playing in front of a large door,3.0,3.0359828
The children are playing in front of a large door,A ball made of wood is being played through a door in front of a large group of boys ,3.0,3.035928
"A black, red, white and pink dress is being worn by a woman","A dress, which is black, red, white and pink is being worn by a woman",4.875,3.0359218
"A woman is putting on a cloak, which is very large, and concealing an extravagant dress","A black, red, white and pink dress is being worn by a woman",2.75,3.0359228
"A woman is taking off a cloak, which is very large, and revealing an extravagant dress","A black, red, white and pink dress is being worn by a woman",3.0,3.0359232
A teenage girl is wearing beads that are red,The girl likes red and isn't wearing beads for teenagers,2.25,3.0359192
"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling",3.375,3.0359704
"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",A teenage girl is wearing beads that are red,2.5,3.0359838
A boy is climbing up a wall artificially built for climbing and is attached to a rope,A climber on the wall is attached to the climbing boy with an artificially built rope,4.0,3.0359592
A boy is climbing up a wall artificially built for climbing and is attached to a rope,A climbing boy rescues the fearful cat from over the wall,1.5000000000000002,3.0359385
A father is in the swimming pool during his daughters launch,A father is launching the daughter in a swimming pool,2.75,3.0359197
A dad is launching his daughter into a swimming pool,The man is tossing a kid into the swimming pool that is near the ocean,4.0,3.0359247
"A person is climbing a rock with a rope, which is pink",One man is climbing the cliff with a rope,3.875,3.0359192
A young child is climbing a rock climbing wall which is indoors,A young child is under a rock climbing wall which is indoors,3.75,3.0359192
The young boy is climbing the wall made of rock,A young kid is climbing a rock climbing wall which is indoors,4.125,3.0359192
A child is indoors watching a program about some young climbers on a rock wall.,The young boy is climbing the wall made of rock,3.0,3.0359235
A young boy isn't climbing a wall made of rock,A young child is climbing a rock climbing wall which is indoors,3.625,3.0359197
A young climber is making a rock wall for the boys,A young child is climbing a rock climbing wall which is indoors,2.375,3.0359192
The air is tricking a performing cyclist,The cyclist is performing a trick in the air,1.75,3.0359192
One man is doing a bicycle trick in midair,The air is tricking a performing cyclist,2.5,3.0359192
"A dog next to a tree, which is probably a pine, is biting a bucket",There is no dog which is furry and black in a back yard carrying a basket in its mouth.,2.75,3.035961
A dog which is furry and black is in a back yard and is carrying a basket in its mouth,"A dog next to a tree, which is probably a pine, is dropping a bucket",2.25,3.035984
A man and a woman are sitting comfortably on the bench,Two people are sitting comfortably on the bench,4.5,3.0359192
Nobody is sitting comfortably on the bench,Two large persons are sitting on a park bench and they have a bottle of soda between them,3.25,3.0359316
A man and a woman are sitting comfortably on the bench,Two large persons are sitting on a park bench and they have a bottle of soda between them,3.625,3.0359316
A few men in a competition are running outside,The man is racing for the lead ,3.0,3.0359192
A man with a camera is studying the subject,There is no man with a camera studying the subject,3.25,3.0359192
The bride and the groom are leaving after the marriage,The bride and the groom are leaving after the wedding,4.75,3.0359192
The bride and the groom are arriving after the wedding,The bride and the groom are leaving after the wedding,4.125,3.0359192
A married couple is walking down the aisle,A couple who have just got married are walking down the isle,4.75,3.03592
A married couple is walking up the aisle,The bride and the groom are leaving after the wedding,3.625,3.0359192
The bride and the groom are arriving after the wedding,A married couple is walking down the aisle,3.75,3.0359192
A woman and a dog are peacefully sitting on a tree stump,A woman and a dog are sitting on a tree stump,4.375,3.03592
"A woman, who is old, is near a white dog","A woman, who is old, is far from a white dog",3.25,3.0359197
"A woman, who is old, is near a dog that has a white coat",A woman and a dog are sitting on a tree stump,2.25,3.0359206
A dog is excitedly playing with water in the grass,A snap is depicting some water falling in droplets on the dog,2.375,3.0359197
The dog is snapping at some droplets of water,A dog is excitedly playing with water in the grass,4.0,3.0359192
Two men are walking two dogs with golden coats in the snow,Two people are walking two dogs with golden coats in the snow,4.5,3.0359192
"Two people are in the snow, wearing clothes that provide camouflage","Some people are in the snow, wearing clothes that provide camouflage",4.25,3.0359192
"Some people are in the snow, wearing clothes that provide camouflage",Two people are walking two dogs with golden coats in the snow,2.125,3.0359197
"Two people are in the snow, wearing clothes that provide camouflage",Two men are walking two dogs with golden coats in the snow,2.75,3.0359197
"A girl from Asia, in front of a brick window, doesn't look surprised","A girl from Asia, in front of a brick window, looks surprised",2.75,3.0359197
There is no girl wearing a t-shirt and keeping her mouth open,A girl is wearing a t-shirt and has her mouth open.,3.625,3.0359192
"A girl from Asia, in front of a brick window, doesn't look surprised",A girl is wearing a t-shirt and has her mouth open.,1.375,3.03592
There is no person in bike gear standing steadily in front of the mountains,A group of people is equipped with protective gear,1.6249999999999998,3.0359218
"A man with equipment used for climbing is hanging from a white, vertical rock.",A woman with a ponytail is climbing down a wall of rock,2.125,3.0359225
A black and a white dog are joyfully running on the grass,A black person in white is joyfully running with the dog on the grass,1.75,3.0359232
One white dog and one black one are running side by side on the grass,"A dog, which has a black coat, and a white dog are running on the grass",4.0,3.0359519
A lot of people are in an ice skating park,An ice skater is outdoors performing on a rink full of people,3.125,3.0359192
Many people are skating in an ice park,An ice skating rink placed outdoors is full of people,4.375,3.0359192
The girl in the blue and white uniform is cheering,Some cheers are being performed by the girl in the blue and white uniform,4.875,3.0359204
The girl in the blue and white uniform is cheering,The girl is cheering the man in the blue and white uniform,2.625,3.0359197
Some cheers are being performed by the girl in the blue and white uniform,"A girl in a uniform, which is blue, is raising her arm.",4.0,3.0359206
"A girl in a uniform, which is blue, is raising her arm.",The girl in the blue and white uniform is cheering,2.875,3.0359192
People are far from a beach full of sand by the ocean and are suffering from the sunny day,People are on a beach full of sand by the ocean and are enjoying a sunny day,2.375,3.0359344
People are on a beach full of sand by the ocean and are enjoying a sunny day,There is no one on the shore,3.375,3.0359251
The man is doing a wheelie with a motorbike in a field which is mostly barren,The man is doing a wheelie with a motorcycle on ground which is mostly barren,4.25,3.0359359
"The man is on ground which is mostly barren, filming a wheelie done with a motorcycle.",A man in a blue jumpsuit is courageously performing a wheelie on a motorcycle,2.0,3.0359204
A man in a blue jumpsuit is failing to perform a wheelie on a motorcycle,The man is doing a wheelie with a motorcycle on ground which is mostly barren,3.0,3.035924
The man is doing a wheelie with a motorcycle on ground which is mostly barren,A courageous performer is doing a wheelie with a motorcycle over a man in a blue jumpsuit,3.25,3.0359259
Two people are passionately kissing near a crowd,Two people are kissing near a crowd,4.25,3.0359192
Two people are arguing near a crowd,Two people are kissing near a crowd,2.5,3.0359192
The girl in the red shirt is blowing a bubble ,The girl in a dyed red shirt isn't blowing a bubble,1.75,3.0359197
"The girl, who is young, is blowing a bubble that is huge",The girl in the red shirt is blowing a bubble ,3.75,3.0359192
"The young woman in a dyed red shirt, is blowing a bubble that is huge",The young girl is blowing a bubble that is huge,3.5,3.0359232
"A bubble blew, dyeing the girl's shirt red.",The young girl is blowing a bubble that is huge,2.5,3.0359192
A little boy is jumping into a puddle in the street,A little boy is jumping into a puddle on the street,4.875,3.0359192
A young child is barefoot and is walking past a puddle full of mud,A little boy is jumping into a puddle on the street,2.375,3.0359213
Two young kids are playing with a man eating corndogs,Two young kids are eating corndogs,3.625,3.0359192
Two young kids are playing with a man eating corndogs,"Two toddlers are eating corndogs in a wagon, which is really small",2.875,3.0359192
Two toddlers are eating on a really small wagon full of corndogs ,Two young kids are eating corndogs,2.5,3.0359192
"Two toddlers are eating corndogs in a wagon, which is really small",Two young kids are eating corndogs,4.125,3.0359197
A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny,5.0,3.0391722
A man is getting on a horse on a track laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color,1.375,3.0359204
A man is falling off a horse on a track and is laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color,2.125,3.0359254
"The man and the boy are standing at the bottom of the stairs, which are outdoors","A man and a boy are standing at the bottom of some stairs, which are outdoors",5.0,3.0359204
There is no adult in the amphitheater talking to a boy,"The man and the boy are standing at the bottom of the stairs, which are outdoors",1.5000000000000002,3.0359297
"A boy is standing in front of the building painted blue, in the space reserved for handicapped people",A boy is standing in front of the blue building in the space reserved for handicapped people,4.75,3.0359545
Some horses are racing furiously over the green grass and jumping an obstacle,Some horses are resting on the green grass,2.75,3.03592
"The Jockeys are racing horses on the field, which is completely green",A few horses are racing furiously over the green grass and jumping the obstacle,3.125,3.03592
A person who is practicing snowboarding jumps into the air,A leap over white snow is greatly appealing to the snowboarders,2.375,3.0359192
A dog is near the red ball in the air,"A dog, which is small, is playing tirelessly on the green grass",2.375,3.0359197
A dog is near the red ball in the air,A small kid is playing with a green toy dog on the grass,1.0,3.0359204
A dog is far from the red ball in the air,"A dog, which is small, is playing on the green grass",1.25,3.0359192
A dog is jumping in the air to catch a red ball,"A dog, which is small, is playing on the green grass",2.375,3.0359192
The person is riding a motorbike on a sandy track,A motocross rider is giving a motorbike to a person at an event,2.0,3.0359192
The person is riding a motorbike on a track on the sand,A person is riding a motorbike in the event related to motocross,3.0,3.03592
A person is riding a motorbike in the event related to motocross,The person isn't riding a motorbike on a sandy track,2.875,3.0359197
A girl is wearing a pink shirt with white writing on it and is lying in the grass,A girl is naked and is standing on the grass,2.25,3.0359962
The young peaceful girl is lying about the grass found in the pink shirt,A girl is wearing a pink shirt with white writing on it and is lying in the grass,3.25,3.0359976
"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",A large dog is running on the grass with a tennis ball in its mouth,4.25,3.0360389
There is no woman riding a horse,A woman is riding a horse,2.25,3.0359192
A woman is riding a horse,A man is opening a small package that contains headphones,0.0,3.0359192
A man is opening a small package that contains headphones,A man is opening a package that contains headphones,4.125,3.0359192
There is no man singing and playing the guitar,A man is singing and playing the guitar,2.0,3.0359192
A man is opening a package that doesn't contain headphones,A man is singing and playing the guitar,0.1250000000000001,3.0359192
A dog is riding a skateboard,An animal is riding a skateboard,4.375,3.0359192
The turtle is following the fish,The fish is following the turtle,3.5,3.0359192
The fish is following the turtle,A sea turtle is hunting for fish,2.75,3.0359192
A fish is hunting for a turtle in the sea,The turtle is following the fish,3.125,3.0359192
There is no man driving the car,A man is driving a car,3.25,3.0359192
A woman is dipping a prawn in batter,A woman is dipping a shrimp in batter,4.25,3.0359192
A woman is dipping a prawn in batter,A man is driving a car,0.0,3.0359192
A man is playing a piano at a concert,A man is playing a guitar,2.25,3.0359192
A woman is adding ingredients to a big bowl,A woman is adding ingredients to a bowl,4.5,3.0359192
A woman is cracking some eggs into a bowl,A woman is cracking some eggs outside a bowl,3.25,3.0359192
A woman is cracking some eggs into a container,A woman is adding ingredients to a bowl,4.125,3.0359192
A woman is adding ingredients to a big bowl,A woman is cracking some eggs into a bowl,4.125,3.0359192
A woman is cracking some eggs into a bowl,A woman is adding ingredients to a bowl,3.875,3.0359192
There is no woman slicing a potato,A woman is slicing a potato,3.625,3.0359192
A potato is being sliced by a woman,A woman is slicing a carrot,2.5,3.0359192
A woman is slicing a potato,There is no woman slicing a carrot,2.75,3.0359192
A man and a woman are walking through a desert area,A man and a woman are walking through a wooded area,3.25,3.0359192
A man and a woman are walking together through the woods,A man and a woman are walking through a desert area,3.5,3.0359197
A man is speaking on a podium,A podium is where a man is speaking,4.75,3.0359192
A man is tanking on a stage in front of a crowd,A man is speaking on a stage,3.0,3.0359192
A man is speaking about the stage,A man is speaking on a stage,3.20625,3.0359192
A man is speaking on a podium,There is no man speaking on a stage,3.0,3.0359192
A man is speaking about the stage,A man is speaking on a podium,3.375,3.0359192
A man is speaking on a stage,A podium is where a man is speaking,3.75,3.0359192
A man is speaking on a stage,A man is speaking on a podium,4.125,3.0359192
A woman is not talking on a telephone,Two boys are talking on the phone,2.25,3.0359192
A woman is talking on a telephone,Two boys are talking on the phone,2.625,3.0359192
A man is cutting a bun,A man is slicing a tomato,2.375,3.0359192
A man is slicing a bun,A man is slicing a tomato,3.25,3.0359192
A woman is dancing and singing in the rain,There is no woman dancing and singing in the rain,3.5,3.0359192
Some women are dancing and singing ,A woman is dancing and singing in the rain,3.5,3.0359192
A woman is dancing and singing with other women,A woman is dancing and singing in the rain,3.875,3.0359192
A woman is removing the peel of a potato,A woman is slicing a tomato,2.75,3.0359192
There is no woman mixing eggs,A woman is mixing eggs,2.625,3.0359192
A band is performing onstage,A band is performing on a stage,5.0,3.0359192
A band is playing on a stage,A band is playing onstage,5.0,3.0359192
A band is performing on a stage,A band is playing onstage,4.875,3.0359192
There is no man mixing,A man is mixing,3.375,3.0359192
A cat is swinging on a fan,A cat is stuck on a ceiling fan that is moving,3.875,3.0359192
There is no man playing soccer,A man is playing soccer,4.75,3.0359192
A man is playing flute,There is no man playing soccer,0.375,3.0359192
There is no man playing flute,A man is playing soccer,0.1250000000000001,3.0359192
A person is performing a card trick,Nobody is performing a card trick,2.625,3.0359192
A person is performing a card trick,There is no man frying a tortilla,0.0,3.0359192
A boy is spanking a man with a plastic sword,A boy is whacking a man with a sword,4.125,3.0359192
The woman is measuring the other woman,The lady isn't measuring the ankle of another woman,2.375,3.0359192
A man is talking on the phone,A man is making a phone call,4.125,3.0359192
A man is talking on a cell phone,A man is making a phone call,4.125,3.0359192
There is no dog rolling from side to side,A dog is rolling from side to side,3.5,3.0359192
There is no dog rolling from side to side,A puppy is repeatedly rolling from side to side on its back,3.5,3.0359192
A pencil is being shaved by the machine,A machine is sharpening a pencil,4.0,3.0359192
A man is playing a keyboard in a park,A man is playing a keyboard,3.875,3.0359192
A person is chopping a red onion,A person is chopping an onion,4.5,3.0359192
A person is riding a motorcycle,A person is chopping a red onion,0.2499999999999999,3.0359192
A person is riding a motorcycle,A person is chopping an onion,0.4999999999999999,3.0359192
A man is screaming,A man is scared,3.25,3.0359192
Butter is being chopped into a container by a man,A man is chopping butter into a container,5.0,3.0359192
A woman is not cutting shrimps,A woman is cutting shrimps,3.125,3.0359192
A woman is not cutting shrimps,A man is chopping butter into a container,1.0,3.0359192
Women are sawing logs,Men are sawing logs,3.75,3.0359192
A woman is chopping a red onion,A woman is chopping an onion,4.375,3.0359192
A woman is slicing meat with a sharp knife,A woman is slicing meat with a knife,4.375,3.0359192
A woman is slicing meat with a sharp knife,A man is spreading dough,0.1062499999999999,3.0359192
A man is resting,A man is exercising,3.375,3.0359192
A man is doing physical activity,A baby is laughing,0.1250000000000001,3.0359192
"Three young men are running, jumping and kicking near a vending machine","There is no man running, jumping and kicking near a vending machine",3.5,3.0359192
Three men are jumping off a wall,"Three young men are furiously running, jumping and kicking near a vending machine",1.875,3.0359197
"Three young men are running, jumping and kicking near a vending machine",Three men are jumping on a wall,2.25,3.0359192
A deer is jumping over a cyclone fence,A deer is jumping over a wall,3.5,3.0359192
The deer is jumping over the fence,The deer is not jumping over the fence,3.25,3.0359192
A deer is standing inside a fence,The deer is jumping over the fence,3.125,3.0359192
A deer is jumping over a cyclone fence,The deer is jumping over the fence,4.5,3.0359192
The oil is being stirred by a man,The man is stirring oil,4.875,3.0359192
A man is playing a guitar,A man is playing guitar,4.875,3.0359192
Three men are practicing karate outdoors,Three boys in karate costumes are fighting,3.5,3.0359192
A woman is dancing alone,A few women are holding each other and dancing together,3.125,3.0359192
Two men are playing table tennis,Two men are playing ping pong,4.125,3.0359192
Two men are playing table football,Two men are playing table tennis,2.25,3.0359192
Two men are playing ping pong,A few women are holding each other and dancing together,0.0,3.0359192
Some women are holding each other in a circle and dancing,Two men are playing table tennis,0.1250000000000001,3.0359192
A woman is cutting some flowers,A woman is cutting broccoli,2.3312500000000003,3.0359192
A horse is running,A woman is cutting an onion,0.0,3.0359192
A cat is playing a keyboard,A musician is playing two keyboards,1.6249999999999998,3.0359192
There are no mimes performing,Mimes are performing on a stage,3.25,3.0359192
The men are performing on stage,Mimes are performing on a small stage,3.125,3.0359192
There are no mimes performing,The men are performing on stage,1.4187499999999995,3.0359192
A man is picking up a tree,A tree is being picked up by a man,4.875,3.0359192
A trumpet is being played by a person,A man is playing the guitar,2.25,3.0359192
A person is playing a trumpet,A man is passionately playing the guitar,1.875,3.0359192
The badger is burrowing a hole,A hole is being burrowed by the badger,4.875,3.0359192
The badger isn't burrowing a hole,The badger is burrowing a hole,3.75,3.0359192
The badger is burrowing a hole,There is no badger shrewdly digging the earth,3.75,3.0359192
The chef is carefully pouring oil in the pan,A man is pouring liquid into a pot,2.75,3.0359192
A snake is being fed a mouse by a man,No snake is being fed a mouse by a man,4.625,3.0359192
A poor man is being fed snakes and mice,A snake is being fed a mouse by a man,1.6249999999999998,3.0359192
The man is carefully feeding a mouse to the snake,A snake is being fed a mouse by a man,4.75,3.0359192
The man is cautiously feeding a mouse to the snake,A snake is being fed a mouse by a man,4.875,3.0359192
A guy is cheerfully playing with a footbag,The man is austerely playing a piano,0.875,3.0359192
The man is playing a piano,A guy is cheerfully playing with a footbag,0.375,3.0359192
A woman is breaking two eggs in a bowl,Some ingredients are being separated in a bowl by a person,3.0625,3.0359192
A person is bowling the ingredients to the man at the mixer,A woman is breaking two eggs in a bowl,1.375,3.0359192
One woman is peeling a potato,There is no woman peeling a potato,2.75,3.0359192
A woman is peeling the potato,One woman is peeling a potato,4.875,3.0359192
One woman is slowly peeling a potato,The potato is being peeled by a woman,4.375,3.0359192
The potato is being peeled by a woman,A woman is throwing a potato peel,3.0,3.0359192
A boat is sailing peacefully over the water,A boat is anchored,2.875,3.0359192
The man is a guitar player,A boat is sailing peacefully over the water,0.0,3.0359192
A man isn't pouring oil on the tomatoes.,The man is pouring oil on a few tomatoes,3.625,3.0359192
The man is pouring oil on a few tomatoes,Few men like pouring tomato oil,3.625,3.0359192
Few men like pouring tomato oil,The man is pouring some oil on the tomatoes,2.25,3.0359192
The milk is being drunk by a cat,The cat is drinking some milk,5.0,3.0359192
A kitten is drinking fresh milk,A little cat is drinking fresh milk,4.33125,3.0359192
Milk is a kitten's drink,The milk is being drunk by a cat,3.625,3.0359192
A kitten is drinking fresh milk,The milk is being drunk by a cat,4.0,3.0359192
A man is emptying a container made of plastic,A man is filling a container made of plastic,3.0,3.0359192
A man is emptying a container made of plastic,A frog is being held carelessly by a man,0.1250000000000001,3.0359192
A man is carelessly holding a frog,A man is filling a container made of plastic,0.2499999999999999,3.0359192
A man is eating onion slices,A man is slicing an onion,3.375,3.0359192
An onion is being cut by a man,The onion is being cut by the man,4.875,3.0359192
An onion is being cut by a man,A man is slicing an onion,4.75,3.0359192
A man is recklessly riding a horse,There is no man recklessly riding a horse,3.875,3.0359192
